dish,dose,genotype,phase,n_obs,pct_center,pct_middle,pct_outer,count_center,count_middle,count_outer
2026-06-19_12.48.06_ROI2_BL_W1118,60:55,W1118,baseline,85165,9.503904185991898,29.863206716374098,60.632889097634,8094,25433,51638
2026-06-19_12.48.06_ROI2_BL_W1118,60:55,W1118,early EtOH,82500,27.650909090909092,21.71878787878788,50.630303030303025,22812,17918,41770
2026-06-19_12.48.06_ROI2_BL_W1118,60:55,W1118,late EtOH,83482,18.812438609520616,18.800459979396756,62.387101411082625,15705,15695,52082
2026-06-19_12.48.06_ROI2_BL_W1118,60:55,W1118,recovery,81180,5.0911554570091155,48.42941611234294,46.47942843064794,4133,39315,37732
2026-06-19_12.48.06_ROI3_TR_W1118,60:55,W1118,baseline,80875,14.639876352395673,31.509119010819163,53.85100463678516,11840,25483,43552
2026-06-19_12.48.06_ROI3_TR_W1118,60:55,W1118,early EtOH,80721,7.848019722253192,22.9717173969599,69.1802628807869,6335,18543,55843
2026-06-19_12.48.06_ROI3_TR_W1118,60:55,W1118,late EtOH,80507,7.367061249332356,16.681779224166842,75.9511595265008,5931,13430,61146
2026-06-19_12.48.06_ROI3_TR_W1118,60:55,W1118,recovery,78981,5.535508540028614,32.85093883339031,61.61355262658108,4372,25946,48663
2026-06-19_12.48.06_ROI4_BR_dSERT,60:55,dSERT,baseline,88623,7.1854936077541955,20.873813795515836,71.94069259672997,6368,18499,63756
2026-06-19_12.48.06_ROI4_BR_dSERT,60:55,dSERT,early EtOH,89044,5.559049458694578,14.034634562688108,80.40631597861731,4950,12497,71597
2026-06-19_12.48.06_ROI4_BR_dSERT,60:55,dSERT,late EtOH,89382,6.1925219842921395,15.201047190709538,78.60643082499831,5535,13587,70260
2026-06-19_12.48.06_ROI4_BR_dSERT,60:55,dSERT,recovery,87437,7.470521632718414,17.65614099294349,74.8733373743381,6532,15438,65467
2026-06-01_10.28.37_ROI1_TL_dSERT,50:65,dSERT,baseline,89438,10.249558353272658,33.99338088955478,55.757060757172574,9167,30403,49868
2026-06-01_10.28.37_ROI1_TL_dSERT,50:65,dSERT,early EtOH,89366,9.12203746391245,14.73267238099501,76.14529015509254,8152,13166,68048
2026-06-01_10.28.37_ROI1_TL_dSERT,50:65,dSERT,late EtOH,89173,6.024245006896707,16.943469435815775,77.03228555728752,5372,15109,68692
2026-06-01_10.28.37_ROI1_TL_dSERT,50:65,dSERT,recovery,87356,9.44411374147168,17.02802326113833,73.52786299738999,8250,14875,64231
2026-06-01_10.28.37_ROI2_BL_W1118,50:65,W1118,baseline,83388,24.30805391663069,33.32493884012088,42.36700724324843,20270,27789,35329
2026-06-01_10.28.37_ROI2_BL_W1118,50:65,W1118,early EtOH,84587,10.326645938501187,32.45415962263705,57.21919443886176,8735,27452,48400
2026-06-01_10.28.37_ROI2_BL_W1118,50:65,W1118,late EtOH,86681,8.450525490015112,23.7618393881012,67.7876351218837,7325,20597,58759
2026-06-01_10.28.37_ROI2_BL_W1118,50:65,W1118,recovery,82026,14.628288591422232,16.02540657840197,69.3463048301758,11999,13145,56882
2026-06-01_10.28.37_ROI3_TR_W1118,50:65,W1118,baseline,80876,27.532271625698602,48.024135713932445,24.44359266036896,22267,38840,19769
2026-06-01_10.28.37_ROI3_TR_W1118,50:65,W1118,early EtOH,80684,12.876158841901741,20.681919587526647,66.44192157057162,10389,16687,53608
2026-06-01_10.28.37_ROI3_TR_W1118,50:65,W1118,late EtOH,80746,14.109677259554655,21.525524484184974,64.36479825626037,11393,17381,51972
2026-06-01_10.28.37_ROI3_TR_W1118,50:65,W1118,recovery,78771,16.42609589823666,24.07231087582994,59.501593225933405,12939,18962,46870
2026-06-01_10.28.37_ROI4_BR_dSERT,50:65,dSERT,baseline,89961,5.96480697191005,14.011627260701859,80.02356576738809,5366,12605,71990
